ch1,ch2
15925,8030
13633,7532
10737,6681
5133,8898
5769,8860
6377,8567
6952,8021
7461,7288
7951,6486
13687,6184
13708,6539
13595,6640
13184,6395
21798,6330
21728,7089
23284,7636
24108,7887
23973,8629
25515,9056
25493,9451
24370,10012
23688,9970
21642,10282
20803,9746
18452,9583
16961,8984
15409,8129
12913,7449
10028,6243
5444,9058
6183,8856
6908,8701
7590,8344
8168,7785
8668,7063
9225,6264
13611,6385
14077,6785
14139,6927
13771,6853
13361,6520
22882,6281
24313,6728
24614,7436
25781,7866
26935,8382
26411,9044
27590,9207
27324,9909
25400,10085
24264,10358
21458,10173
20236,9732
17635,9475
16141,8448
14448,7858
12009,6943
5196,8593
5773,9210
6516,9393
7305,9162
8065,8737
8736,8249
9362,7658
9922,6923
10383,6108
13351,6302
14140,6778
14598,7103
14621,7174
14193,6914
13482,6320
24520,6270
26426,6667
26927,7259
27756,7574
28940,8350
28188,8773
28449,9052
27866,9565
25377,9645
23769,9893
20871,9384
19175,9333
16712,8776
15198,7774
13575,7350
11358,6534
5466,6902
6216,8011
6929,8936
7764,9507
8544,9610
9241,9236
9984,8495
10606,7707
11066,6949
11384,6134
14172,6558
14940,6921
15321,7123
15230,7110
14677,6832
13770,6293
27767,6247
28356,6693
28675,7076
29744,7724
28827,8022
28114,8348
27420,8651
24972,8874
22845,8928
20195,8503
18269,8525
16169,8030
14582,7308
13149,7097
11158,6545
6421,6160
7328,7267
8318,8348
9185,9249
9902,9786
10621,9819
11310,9324
11816,8420
12122,7391
12268,6378
14235,6316
15258,6722
15956,7015
16196,7149
15922,7074
15183,6764
14119,6240
28937,6430
28499,6675
29499,6942
28690,7250
27120,7364
26609,7692
24530,7881
22123,8023
19895,7728
17921,7880
16172,7653
14458,7220
13211,7292
11365,6910
9148,6602
6896,6223
8637,6781
9771,7857
10695,8849
11387,9624
12136,10030
12686,9947
13024,9360
13150,8398
13081,7270
12879,6180
14228,6335
15419,6698
16403,6970
16979,7158
17017,7236
16501,7183
15524,6985
14255,6646
12886,6194
27958,6172
28918,6780
28137,7179
28735,7231
28269,7380
26232,7306
25971,7148
24445,7244
21913,7526
20117,7455
18115,7689
16593,7682
14706,7536
13543,7682
11697,7177
9403,7098
7027,6415
9868,6406
11142,7373
12153,8303
13016,9167
13708,9734
14115,9931
14253,9684
14163,8976
13996,7952
13775,6823
14216,6392
15752,6738
16929,6934
17591,7040
17676,7150
17465,7272
16673,7280
15433,7153
13938,6889
12747,6537
11756,6180
27321,6500
28619,7260
28270,7644
27948,7537
27984,7653
26501,7432
25773,7248
24787,7159
22433,7401
20666,7408
18536,7797
17027,7765
15034,7822
13822,7695
11850,7317
9411,6826
6933,6293
12256,6900
13390,7696
14474,8483
15178,9136
15485,9469
15462,9415
15518,8978
15291,8135
14836,7053
13702,6468
15478,6834
17002,6975
18067,6971
18520,6951
18312,7101
17514,7245
16288,7346
14846,7369
13385,7261
12055,6953
11355,6379
27473,6816
28333,7562
28469,7801
27441,7528
27998,7672
27032,7298
25899,7263
25271,7139
23067,7336
21084,7272
18743,7735
17095,7465
15096,7512
13742,6993
11615,6641
12953,6376
14273,7025
15485,7614
16275,8210
16615,8643
16995,8767
16985,8527
16620,7919
15982,6969
11159,6136
12891,6566
14693,6998
16382,7111
17739,6992
18564,6762
18722,6645
18195,6726
17078,6856
15562,7000
13876,7100
12234,7080
11297,6847
10755,6312
26976,6292
27587,7069
28107,7510
28678,7619
27646,7362
28097,7416
27471,7197
25916,7129
25378,6995
23170,7049
20927,6979
18402,7189
16582,6761
14672,6547
14578,6273
15868,6703
16799,7101
17650,7475
18165,7727
18198,7712
17811,7384
17098,6680
10745,6287
12202,6804
13796,7198
15386,7353
16787,7163
17800,6768
18255,6319
15844,6200
14139,6348
12333,6468
11180,6479
10386,6273
26455,6483
27380,7123
27707,7388
28576,7297
27868,7030
27855,7095
27359,6943
25356,6962
24765,6771
22574,6728
20104,6564
17511,6376
17947,6221
18680,6430
18899,6555
18639,6484
17963,6112
11013,6354
12013,7011
13236,7307
14503,7582
15695,7424
16826,6943
17388,6313
23692,6430
24488,7039
25543,7266
26773,7486
26858,7415
27947,7304
27575,6940
26988,6937
26592,7000
24657,6940
23600,6925
21582,6834
18990,6754
16413,6414
12004,6269
12454,7046
13238,7426
14065,7581
15157,7549
16273,7119
16957,6432
21393,7045
22598,7807
23959,8063
24370,8347
25925,8140
26466,8029
26927,7492
26962,6943
25675,7007
25527,7288
23997,7290
22434,7389
20754,7314
18098,7278
15736,7034
14056,6439
13354,6817
13701,7280
14069,7350
14766,7285
15628,7000
16166,6417
19396,6193
20244,7497
21447,8361
22849,8635
23639,8971
24801,8810
25157,8609
26392,8106
26397,7391
26514,6935
25727,7192
24743,7566
23710,7562
21779,7889
20496,7822
17976,7795
15608,7535
13863,6865
11707,6205
14320,6438
14276,6804
14222,6908
14600,6724
15100,6414
18038,6301
20213,7707
21695,8586
22223,8800
24016,9209
25025,9042
25535,8862
26292,8417
26615,7730
27188,7001
26496,6854
26167,7315
24585,7654
23932,7840
21784,8191
20738,7990
18215,8118
15696,7747
13853,7104
11581,6367
15220,6163
14965,6351
14605,6309
14187,6205
17256,6151
19149,7556
21144,8373
23096,8583
23939,8968
25100,8741
26432,8678
26362,8288
27463,7809
27045,7251
27995,6618
27091,6690
26725,7283
24914,7479
24374,7944
22121,8144
20944,8043
18094,8126
15444,7573
13527,7086
11521,6283
15467,6636
15148,6788
14571,6513
17809,6948
20038,7661
21841,7984
24075,8263
25051,7967
25734,8071
27188,7795
26938,7577
28109,7315
27413,6711
28411,6526
27322,6560
26931,7077
25231,7198
24432,7756
22124,7713
20456,7890
17300,7755
14605,7267
12555,6779
11114,6140
14849,6280
15204,6623
14978,6999
14313,6784
13920,6116
18059,6492
20480,7007
22099,7210
24418,7084
25408,7176
25747,7185
27126,7094
26969,7163
28014,6764
27322,6252
28069,6346
26921,6393
26304,6685
24900,6963
23531,7269
21205,7167
18973,7416
15870,7035
13402,6852
11483,6225
14637,6575
14647,6624
14088,6688
13609,6182
24112,6169
25054,6433
25124,6566
26296,6833
26338,6787
27124,6618
24704,6169
23540,6513
21628,6566
19351,6700
16776,6692
13910,6542
11823,6263
11752,6301
11044,6349
10209,6336
14322,6328
23985,6387
24948,6709
25117,6781
25595,6498
12683,6225
12835,6420
12579,6828
11947,7131
11086,6959
10202,6642
9452,6126
22629,6438
23492,6667
23556,6811
23815,6550
12420,6751
12864,7276
13001,7334
12740,7625
12115,7738
11259,7331
10318,6773
22285,6478
21725,6456
22417,6750
22069,6916
22306,6743
21450,6435
21192,6266
18377,6103
12123,6740
12711,7599
13051,8037
13026,7941
12627,8105
12047,8032
11280,7443
10413,6742
21762,6353
21799,6331
22146,6743
21786,6946
21563,6936
20646,6857
20271,6792
19011,6551
17500,6682
15902,6514
14440,6331
12887,6147
11146,6265
9754,6106
8839,6140
7522,6126
11763,6835
12277,7457
12762,8004
13070,8321
13091,8096
12817,8131
12271,7930
11555,7262
10800,6535
11654,6277
12886,6298
22853,6488
22689,6812
21871,7009
21259,7193
20444,7274
19565,7037
17705,7212
16087,6958
14652,6876
13125,6553
11532,6735
9576,6554
8617,6397
7301,6434
5801,6117
11440,6360
11623,7191
11942,7713
12283,7858
12527,8041
12633,7742
12530,7673
12236,7427
11759,6793
11200,6149
12434,6252
13201,6436
13912,6259
24105,6705
23163,7225
22648,7552
21654,7816
20936,7592
18869,7731
17292,7433
15679,7246
14081,6986
12368,6937
10014,6755
8648,6476
7260,6434
11187,6332
11145,6985
11235,7333
11414,7282
11617,7268
11750,6953
11829,6839
11758,6619
11583,6103
25288,6752
24922,7662
24128,8111
23413,8580
22418,8269
20455,8431
18481,8054
16995,7615
15298,7234
13110,7029
10382,6735
8803,6446
7221,6217
10488,6314
10544,6461
10688,6307
10861,6195
26873,6130
25601,7280
26319,8344
24869,9062
24868,9396
23168,8953
21627,9217
19807,8543
17899,8139
16064,7532
13155,7243
10446,6758
8799,6409
7582,6415
7575,6268
26837,6513
26674,8058
26698,8929
25687,9860
25296,9733
23620,9740
21731,9558
20466,8851
18547,8530
15783,7926
12412,7424
10289,6883
8336,6536
7223,6303
7231,6452
7171,6844
7056,6758
26115,7266
26735,8543
26065,9529
25824,9888
24627,9479
23438,9773
22122,8965
20285,9066
17900,8211
14395,8012
11536,7364
9577,6779
7340,6669
5222,6349
6914,6699
6974,6957
6987,6682
6844,6664
6539,6135
5312,6593
5175,6764
25340,7545
26020,8482
24992,9204
25080,8936
23932,9180
22729,8775
21322,8856
19382,8340
16167,8017
12625,7415
10536,7072
8265,6993
6008,6629
6805,6586
6848,7027
6772,6948
6548,6257
25097,6131
24972,7020
25152,7874
24251,7972
24036,8023
22909,7963
21923,8076
20173,7877
17502,7559
13920,7116
11167,6987
8959,6998
6675,6693
6690,6321
6634,6764
6479,6968
6205,6529
25028,6248
24614,6613
23574,6633
23118,6842
21756,7034
20445,7074
18278,6889
15192,6651
11641,6672
9370,6786
7149,6564
5110,6706
6488,6253
6417,6926
6367,7057
6181,6677
20553,6231
18713,6248
16002,6352
12839,6526
9552,6501
7407,6315
5430,6523
6444,6808
6331,7188
6105,6814
16879,6638
13826,7145
10608,7030
7678,6241
5600,6290
6303,6341
6162,6984
5930,6878
17607,6734
14902,7596
11790,7852
8655,7294
6009,6134
5839,6390
5676,6613
19012,6606
15652,7817
12748,8566
9692,8415
6868,7353
19962,6344
16932,7748
13383,8916
10492,9250
7652,8541
5238,7035
17856,7433
14406,8773
11069,9576
8264,9297
5782,8049
18199,6711
15138,8152
11583,9285
8697,9438
6177,8537
5393,6344
6223,6639
7004,6973
7582,6523
6274,6309
6311,6551
6293,6536
15302,7300
11988,8447
8938,8972
6415,8458
5079,6305
5727,7513
6563,8023
7395,8330
8057,7636
8362,6420
6623,6280
6707,7076
6727,7979
6691,8172
6607,7390
14934,6199
11902,7413
9032,8075
6469,7951
5383,6794
6007,7684
6771,8123
7568,8369
8228,7546
8576,6528
6948,6664
7039,8113
7069,9177
7039,9348
6951,8526
6809,6908
11893,6500
9001,7200
6408,7240
5182,6223
6323,6914
6964,6964
7579,7136
8046,6351
6929,6181
7098,6824
7217,8375
7325,9501
7381,9879
7346,9299
7203,7814
11878,6538
8870,7038
6244,7086
7044,6428
7252,6795
7434,7861
7573,8983
7641,9558
7608,9305
7456,8178
7182,6545
11820,6601
8700,7015
6086,7533
6722,6368
6946,6540
7167,6663
7371,7185
7532,7965
7618,8686
7598,8792
7452,8144
7182,7012
11722,6338
8528,6825
6024,7722
5450,6621
5685,7236
5897,6918
6107,6428
6325,6544
6556,6485
6798,6393
7029,6573
7219,7049
7333,7726
7337,8130
7216,8009
6977,7265
10274,6366
7259,7503
12281,6157
5215,8603
5394,8245
5573,6997
5769,6383
5976,6187
6702,6346
6853,6895
6896,7548
6817,7770
6628,7403
6359,6496
12062,6148
8899,6852
5967,8107
10084,6566
11132,6680
12092,6662
12847,6776
13334,6220
5456,6625
5373,6815
6386,6218
6476,6928
6470,7456
6376,7442
6216,6878
