ch1,ch2
21889,17005
22305,16208
22354,15371
22044,14694
21823,14245
21569,13980
21197,14425
20861,15141
20651,15430
20620,15125
20776,14171
21068,12690
21552,11144
22210,9348
22994,7523
29246,7308
29651,9764
29480,13250
29479,16024
29090,16989
28944,15836
29141,13678
29225,11057
29274,8670
29324,6974
32012,7931
33001,9660
33961,11458
35520,13129
37127,14297
38750,14835
40342,14748
41873,14185
43257,14530
44475,16694
45383,17959
45909,18388
45838,20179
45127,24336
44224,28139
44822,31239
46096,35399
47827,37268
49598,39365
51255,40839
52448,38813
52635,36069
51510,36728
48831,34414
44667,29794
39365,25328
34021,22248
28725,19377
24276,17852
20857,17543
17401,16213
14481,16869
12532,17825
10954,19783
9050,22206
7077,24810
6624,20833
8170,20082
9981,20376
12008,22479
14214,25037
16518,26323
18792,26319
20843,27141
23441,28163
25946,28046
27943,28125
29113,26581
29653,25446
30126,25804
29947,26090
29499,25046
30716,23059
32225,20884
33830,22534
35931,23310
38405,23069
40485,21958
42096,20678
43267,20895
44076,23056
44725,27409
45349,31526
46133,34876
47063,37165
47968,38401
48655,38827
48878,38805
48554,38652
47770,38594
46903,38720
47521,39031
48113,39717
49276,39978
51108,40143
52781,40037
54111,39324
54978,37781
55374,35293
55346,31924
54960,27950
54259,23797
53247,19998
51909,18762
50213,17693
48230,17481
46247,17218
44750,16701
43285,15871
41938,14743
40798,13565
39847,12886
39147,12380
38620,11729
38145,11549
37578,12015
36791,12650
35728,13498
34407,14369
32898,15169
32253,15804
31575,16160
30800,16123
29853,15936
29187,15593
28498,14664
27370,13298
25974,11809
24673,10919
22848,10914
22698,11361
23462,12273
24106,13167
24395,13643
24138,13452
23515,12604
23563,11480
23010,10162
21896,9053
20410,9884
18795,10845
17318,11031
16154,10394
15500,9169
15663,10310
16202,12797
17003,15860
17895,18991
18687,21462
19192,22626
19337,22223
19083,21538
18499,20440
17726,18726
17059,16952
17001,15498
16803,14566
16556,14240
16364,14509
16311,15317
16685,16729
17366,17952
18043,18597
18573,18448
18856,17592
18854,16329
18993,15018
18672,13911
17936,13127
16854,12634
15598,12321
14378,12033
14331,12102
14762,11829
15543,11095
16537,10012
17541,8731
18333,7400
26490,7075
27174,9657
27644,12338
27958,14298
28202,16316
29024,17059
29453,15952
29067,13645
29007,11085
28813,8985
28648,7659
28893,7092
29300,7881
29849,9408
30518,11187
31239,13046
31943,14734
32549,16009
33043,16499
33652,15838
35380,14606
37000,14118
38484,13324
39743,13159
40795,13685
41604,13968
42172,15436
42433,19179
42492,22488
42443,26552
42347,29857
42644,33525
45043,36535
47556,36519
49856,34537
51465,34328
51843,33695
50735,30269
48772,26458
